## PART B: Selected empirical priors specific to outcome and intervention-comparison type studied in each network (Turner et al., 2015 - PMID: 25475839)

Network	 Mean	SD	Median	Third.q
1	-2.35	1.6	0.09679	0.2762
2	-2.29	1.58	0.1028	0.2894
3	-2.06	1.51	0.1292	0.3477
4	-2.49	1.52	0.08408	0.2277
5	-2.12	1.53	0.1217	0.3318
6	-2.06	1.51	0.1292	0.3477
7	-2.06	1.51	0.1292	0.3477
8	-2.78	1.6	0.06296	0.1797
9	-1.51	1.27	0.2235	0.5138
10	-2.06	1.51	0.1292	0.3477
11	-2.06	1.51	0.1292	0.3477
12	-2.06	1.51	0.1292	0.3477
13	-2.06	1.51	0.1292	0.3477
14	-2.06	1.51	0.1292	0.3477
15	-2.00	1.58	0.1373	0.3868
16	-2.29	1.58	0.1028	0.2894
17	-2.06	1.51	0.1292	0.3477
18	-3.71	1.74	0.02487	0.0778
19	-2.12	1.53	0.1217	0.3318
20	-2.29	1.58	0.1028	0.2894
21	-2.06	1.51	0.1292	0.3477
22	-2.14	1.74	0.1196	0.374
23	-3.95	1.79	0.01957	0.06327
24	-2.06	1.51	0.1292	0.3477
25	-2.12	1.53	0.1217	0.3318
26	-2.73	1.58	0.06618	0.1864
27	-2.06	1.51	0.1292	0.3477
28	-2.06	1.51	0.1292	0.3477
29	-2.73	1.58	0.06618	0.1864
